date,ten_yr,three_mo
2011-03-02,28.05,39.07
2011-03-03,28.08,39.31
2011-03-04,28.68,39.8
2011-03-07,28.9,40.23
2011-03-08,29.36,40.94
2011-03-09,29.72,41.58
2011-03-10,29.99,42.28
2011-03-11,30.41,42.34
2011-03-14,31.09,42.25
2011-03-15,31.36,41.85
2011-03-16,31.7,41.89
2011-03-17,31.98,41.83
2011-03-18,31.8,41.46
2011-03-21,30.84,40.41
2011-03-22,30.9,39.43
2011-03-23,30.46,38.34
2011-03-24,30.26,37.52
2011-03-25,29.52,36.39
2011-03-28,29.23,35.32
2011-03-29,28.68,34.6
2011-03-30,28.29,33.77
2011-03-31,27.59,33.28
2011-04-01,27.05,32.98
2011-04-04,26.77,32.67
2011-04-05,26.38,32.22
2011-04-06,25.92,32.88
2011-04-07,25.46,32.38
2011-04-08,24.67,31.83
2011-04-11,24.09,31.49
2011-04-12,23.49,30.76
2011-04-13,23.09,30.18
2011-04-14,22.18,29.71
2011-04-15,21.18,29.36
2011-04-18,20.47,29.02
2011-04-19,19.81,28.97
2011-04-20,19.39,28.74
2011-04-21,19.06,28.23
2011-04-22,18.65,27.89
2011-04-25,18.14,26.99
2011-04-26,17.72,27.09
2011-04-27,17.42,27.1
2011-04-28,17.37,27.55
2011-04-29,16.79,28.13
2011-05-02,16.37,28.31
2011-05-03,16.35,28.55
2011-05-04,16.39,28.91
2011-05-05,16.45,29.35
2011-05-06,16.33,29.56
2011-05-09,16.03,29.8
2011-05-10,15.5,30.11
2011-05-11,15.7,30.14
2011-05-12,16.11,29.68
2011-05-13,16.51,30.69
2011-05-16,16.93,30.82
2011-05-17,16.86,31.04
2011-05-18,17.39,31.41
2011-05-19,17.59,32.17
2011-05-20,17.71,33.0
2011-05-23,18.03,32.98
2011-05-24,18.3,32.92
2011-05-25,18.13,33.48
2011-05-26,18.46,34.05
2011-05-27,19.17,34.35
2011-05-30,19.82,34.31
2011-05-31,19.91,34.49
2011-06-01,19.92,33.73
2011-06-02,19.96,34.06
2011-06-03,20.27,33.7
2011-06-06,20.29,32.96
2011-06-07,20.78,32.56
2011-06-08,21.11,32.47
