date,germany_10y,germany_30y,japan_10y,japan_30y,uk_10y,uk_30y,us_10y,us_30y
1981-04-10,,,,,,,13.592,
1981-04-13,,,,,,,13.682,
1981-04-14,,,,,,,13.582,
1981-04-15,,,,,,,13.742,
1981-04-16,,,,,,,13.792,
1981-04-20,,,,,,,13.692,
1981-04-21,,,,,,,13.732,
1981-04-22,,,,,,,13.782,
1981-04-23,,,,,,,13.802,
1981-04-24,,,,,,,13.882,
1981-04-27,,,,,,,13.922,
1981-04-28,,,,,,,13.932,
1981-04-29,,,,,,,14.052,
1981-04-30,,,,,,,14.112,
1981-05-01,,,,,,,14.052,
1981-05-04,,,,,,,14.472,
1981-05-05,,,,,,,14.692,
1981-05-06,,,,,,,14.562,
1981-05-07,,,,,,,14.332,
1981-05-08,,,,,,,14.232,
1981-05-11,,,,,,,14.342,
1981-05-12,,,,,,,14.462,
1981-05-13,,,,,,,14.492,
1981-05-14,,,,,,,14.242,
1981-05-15,,,,,,,14.072,
1981-05-18,,,,,,,13.802,
1981-05-19,,,,,,,13.952,
1981-05-20,,,,,,,14.002,
1981-05-21,,,,,,,14.052,
1981-05-22,,,,,,,13.832,
1981-05-26,,,,,,,13.672,
1981-05-27,,,,,,,13.712,
1981-05-28,,,,,,,13.562,
1981-05-29,,,,,,,13.502,
1981-06-01,,,,,,,13.462,
1981-06-02,,,,,,,13.582,
1981-06-03,,,,,,,13.552,
1981-06-04,,,,,,,13.512,
1981-06-05,,,,,,,13.562,
1981-06-08,,,,,,,13.362,
1981-06-09,,,,,,,13.372,
1981-06-10,,,,,,,13.312,
1981-06-11,,,,,,,13.322,
1981-06-12,,,,,,,13.352,
1981-06-15,,,,,,,13.092,
1981-06-16,,,,,,,13.082,
1981-06-17,,,,,,,13.232,
1981-06-18,,,,,,,13.572,
1981-06-19,,,,,,,13.462,
1981-06-22,,,,,,,13.442,
1981-06-23,,,,,,,13.562,
1981-06-24,,,,,,,13.662,
1981-06-25,,,,,,,13.702,
1981-06-26,,,,,,,13.692,
1981-06-29,,,,,,,13.682,
1981-06-30,,,,,,,13.862,
1981-07-01,,,,,,,14.042,
1981-07-02,,,,,,,13.952,
1981-07-06,,,,,,,13.812,
1981-07-07,,,,,,,14.042,
1981-07-08,,,,,,,14.112,
1981-07-09,,,,,,,14.122,
1981-07-10,,,,,,,13.942,
1981-07-13,,,,,,,13.992,
1981-07-14,,,,,,,14.152,
1981-07-15,,,,,,,14.072,
1981-07-16,,,,,,,14.112,
1981-07-17,,,,,,,14.092,
1981-07-20,,,,,,,14.592,
1981-07-21,,,,,,,14.612,
1981-07-22,,,,,,,14.632,
1981-07-23,,,,,,,14.572,
1981-07-24,,,,,,,14.412,
1981-07-27,,,,,,,14.432,
1981-07-28,,,,,,,14.532,
1981-07-29,,,,,,,14.612,
1981-07-30,,,,,,,14.712,
1981-07-31,,,,,,,14.672,
1981-08-03,,,,,,,14.952,
1981-08-04,,,,,,,14.952,
1981-08-05,,,,,,,14.912,
1981-08-06,,,,,,,14.862,
1981-08-07,,,,,,,14.832,
1981-08-10,,,,,,,14.652,
1981-08-11,,,,,,,14.402,
1981-08-12,,,,,,,14.612,
1981-08-13,,,,,,,14.652,
1981-08-14,,,,,,,14.742,
1981-08-17,,,,,,,14.712,
1981-08-18,,,,,,,14.792,
1981-08-19,,,,,,,14.772,
1981-08-20,,,,,,,14.892,
1981-08-21,,,,,,,14.972,
1981-08-24,,,,,,,15.322,
1981-08-25,,,,,,,15.352,
1981-08-26,,,,,,,15.312,
1981-08-27,,,,,,,15.362,
1981-08-28,,,,,,,15.252,
1981-08-31,,,,,,,15.412,
1981-09-01,,,,,,,15.412,
1981-09-02,,,,,,,15.402,
1981-09-03,,,,,,,15.482,
1981-09-04,,,,,,,15.512,
1981-09-08,,,,,,,15.592,
1981-09-09,,,,,,,15.532,
1981-09-10,,,,,,,15.302,
1981-09-11,,,,,,,15.052,
1981-09-14,,,,,,,15.202,
1981-09-15,,,,,,,15.082,
1981-09-16,,,,,,,15.112,
1981-09-17,,,,,,,14.952,
1981-09-18,,,,,,,14.912,
1981-09-21,,,,,,,14.782,
1981-09-22,,,,,,,15.032,
1981-09-23,,,,,,,15.232,
1981-09-24,,,,,,,15.312,
1981-09-25,,,,,,,15.682,
1981-09-28,,,,,,,15.652,
1981-09-29,,,,,,,15.762,
1981-09-30,,,,,,,15.842,
1981-10-01,,,,,,,15.752,
1981-10-02,,,,,,,15.412,
1981-10-05,,,,,,,15.192,
1981-10-06,,,,,,,15.142,
1981-10-07,,,,,,,15.042,
1981-10-08,,,,,,,15.002,
1981-10-09,,,,,,,14.732,
1981-10-13,,,,,,,14.832,
1981-10-14,,,,,,,14.872,
1981-10-15,,,,,,,14.882,
1981-10-16,,,,,,,14.942,
1981-10-19,,,,,,,14.952,
1981-10-20,,,,,,,15.092,
1981-10-21,,,,,,,15.342,
1981-10-22,,,,,,,15.382,
1981-10-23,,,,,,,15.302,
1981-10-26,,,,,,,15.602,
1981-10-27,,,,,,,15.542,
1981-10-28,,,,,,,15.442,
1981-10-29,,,,,,,15.062,
1981-10-30,,,,,,,14.632,
1981-11-02,,,,,,,14.572,
1981-11-04,,,,,,,14.182,
1981-11-05,,,,,,,14.192,
1981-11-06,,,,,,,13.942,
1981-11-09,,,,,,,13.392,
1981-11-10,,,,,,,13.402,
1981-11-12,,,,,,,13.192,
1981-11-13,,,,,,,13.182,
1981-11-16,,,,,,,13.072,
1981-11-17,,,,,,,13.182,
1981-11-18,,,,,,,13.002,
1981-11-19,,,,,,,13.042,
1981-11-20,,,,,,,13.142,
1981-11-23,,,,,,,13.442,
1981-11-24,,,,,,,13.132,
1981-11-25,,,,,,,12.982,
1981-11-27,,,,,,,12.922,
1981-11-30,,,,,,,13.132,
1981-12-01,,,,,,,13.372,
1981-12-02,,,,,,,13.492,
1981-12-03,,,,,,,13.452,
1981-12-04,,,,,,,13.152,
1981-12-07,,,,,,,13.502,
1981-12-08,,,,,,,13.502,
1981-12-09,,,,,,,13.642,
1981-12-10,,,,,,,13.802,
1981-12-11,,,,,,,13.842,
1981-12-14,,,,,,,13.622,
1981-12-15,,,,,,,13.552,
1981-12-16,,,,,,,13.532,
1981-12-17,,,,,,,13.712,
1981-12-18,,,,,,,13.512,
1981-12-21,,,,,,,13.832,
1981-12-22,,,,,,,14.022,
1981-12-23,,,,,,,14.142,
1981-12-24,,,,,,,14.012,
1981-12-28,,,,,,,14.012,
1981-12-29,,,,,,,14.122,
1981-12-30,,,,,,,14.172,
1981-12-31,,,,,,,13.982,
1982-01-04,,,,,,,14.192,
1982-01-05,,,,,,,14.442,
1982-01-06,,,,,,,14.592,
1982-01-07,,,,,,,14.632,
1982-01-08,,,,,,,14.482,
1982-01-11,,,,,,,14.812,
1982-01-12,,,,,,,14.622,
1982-01-13,,,,,,,14.832,
1982-01-14,,,,,,,14.782,
1982-01-15,,,,,,,14.822,
1982-01-18,,,,,,,14.752,
1982-01-19,,,,,,,14.802,
